,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,MaxE_sigmax - YOLO,MaxE_sigmay - YOLO,MaxE_sigma - YOLO,RMSE_amplitude - YOLO,RMSEPixel - YOLO
29,194,80,80,100.0,0.4714211672252287,0.08234096872672579,0.47855820130769117,1.4813804874306082,1.75931721587952,2.2999315673798235,8.885086096185452,9.491190443572435,13.001055763775062,53.289497430050844,2.9601062490455345
15,200,80,80,100.0,0.5147383036187813,0.15429861437445536,0.5373672706913005,1.9323875071770746,1.7631252301519615,2.6158616276654305,8.272564395954248,10.439552191351133,13.319893829950527,55.13503797514361,3.3510336423416525
0,208,80,80,100.0,0.34381073592523115,0.1353592090527866,0.36949687091076294,1.887126839701086,1.5953304766800662,2.471098346675918,12.135069521153445,9.721283565223693,15.548738419521875,54.99700169091252,3.158098958956327
31,209,80,80,100.0,0.4435301660345935,0.12839571223738852,0.46174069249268074,1.8278800290073913,2.088029691769671,2.7750699800465948,8.604487151467074,9.035291640435704,12.476926471190302,53.98450080976408,2.855168253444581
5,230,80,80,100.0,0.4442013849811281,0.11812161864212727,0.45963853973507107,1.6825202179566596,1.4036226549218775,2.191125473641997,7.742466964119883,6.462751286620774,10.085283778020637,48.56441104274876,3.325226572481762
39,242,80,80,100.0,0.3637557643169277,0.10286354643805826,0.3780200593349602,1.7765348414569522,1.7886089345097629,2.520951797143021,9.684166209381347,5.743029663173807,11.259017047816286,52.66265725547207,3.1442534640146556
2,262,80,80,100.0,0.3948891971461324,0.18631418732775018,0.43663537926090806,1.7751178785935369,2.0203898161622673,2.6894271680331148,10.66226503641838,6.548274126478095,12.512545294316913,55.17811312734637,3.3314999238700542
14,285,80,80,100.0,0.4777463260663771,0.18393099894487916,0.511929843282048,1.5681451729096803,1.8366275933331029,2.4150114285262663,6.598213155811641,8.755942183207114,10.963710155106783,53.37763905730678,2.892260081826354
24,286,80,80,100.0,0.37644523888243325,0.09237808641378245,0.3876141492860194,1.3377074181605508,1.800675687851197,2.243188371363437,5.393204930760373,9.819765202472304,11.203323080981995,50.73935952817935,2.8300076530864553
3,288,80,80,100.0,0.5029290467759789,0.17814925746578553,0.533549232992238,1.808133714828296,1.9640782238554082,2.6696349563417447,10.717287424961516,7.459887224371194,13.057954171675393,59.606545977348915,3.231814903255927
27,291,80,80,100.0,0.3951635731899732,0.12694219482615607,0.41505249114244464,1.7764091697368207,1.6805602220765559,2.445385899679448,7.156076222503514,8.017901037539197,10.746914159425128,56.319670489758835,3.337414865391318
18,297,80,80,100.0,0.46269789365727276,0.09224374684196329,0.47180318950418415,1.758166788581017,2.1189215779026225,2.753357788187112,8.23785574383908,8.209710133974163,11.630202394635296,53.28320071799536,3.125559227670675
33,301,80,80,100.0,0.4888305479501762,0.12110764303120479,0.50360933848554,1.7876475188662575,1.8877908434134123,2.5998919054807277,9.540303235956776,6.807309707144207,11.719933928268839,54.070520365200615,3.265845107899068
1,304,80,80,100.0,0.3716786947698139,0.10499131324861427,0.3862230288362686,1.833060048545989,1.5658375288830957,2.410799931233229,10.00997873081344,8.19191948449851,12.934729182779352,51.745971876454234,3.3199270280607593
32,310,80,80,100.0,0.37110651054258653,0.10701832305750679,0.3862291594858366,1.6082561318018718,1.426681021956281,2.1498619778694024,6.3342176730728434,5.269380088951955,8.239458723223976,55.22515468740008,3.2168127463804828
22,322,80,80,100.0,0.38458146062766835,0.06249687391379076,0.3896264353294153,1.4416899379034116,1.4830386073871997,2.068302054355917,5.045649134635927,5.899529608684462,7.762926303501594,46.5285162292532,2.8734972465415316
11,323,80,80,100.0,0.4837892086245405,0.10420995627984637,0.4948855558302411,1.7283831209699778,2.442193171255024,2.9919250823806722,8.239143753748147,20.625852795794437,22.21056715504375,54.67299105055046,3.8138481844911283
35,324,80,80,100.0,0.30768444313427123,0.14466768508911054,0.33999772889813346,1.5477230899489163,1.8555729920289077,2.416319079076299,8.70448986252937,6.8555144607156,11.079991980500585,54.155889530296655,3.2572143202246018
37,357,80,80,100.0,0.4213427937682747,0.10006295818750596,0.433061595459225,1.7210272182008248,1.4573167324775305,2.2551511578045176,8.823507319812625,4.863277725503763,10.075006285763202,50.82747017396363,2.9721415473962707
17,365,80,80,100.0,0.3854795703230259,0.07914844580674428,0.3935212517895924,1.7306666380675129,1.7531980832523588,2.4635158881646477,8.521126489178748,7.371395531787236,11.267078979515345,48.78716573958807,3.1844033697653855
12,371,80,80,100.0,0.46040655948700654,0.11451409763191858,0.47443406135638605,1.5611611511324726,1.7539663627327542,2.348110334163034,6.486755668456995,8.269504069183345,10.510123531743043,51.1078639201192,3.0157046843906645
16,383,80,80,100.0,0.42352368749593255,0.10903489358267886,0.4373338791915605,1.7344349196446767,2.0840626734114216,2.7113800392400913,9.05654943246333,7.299845148565891,11.632232237008202,52.36815144016149,2.96312294960615
