,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
19,149,76,78,97.44,0.9008163923263263,0.06092099810448278,0.9028740447558917,1.777483577069269,1.6553894906574294,2.4289426161459695,10.958198855042344,18.426422932575207,21.4386376488056,14.33356565662772,284937.0801119117
0,156,77,80,96.25,0.9939720930196384,0.10154057641474144,0.9991451397872476,1.7697372709165624,2.0217178763185806,2.686877961407498,8.560629537824155,14.973460535991562,17.247866491446533,24.841310318959074,595829.671737884
4,166,78,80,97.5,0.946813900760919,0.07591221613811357,0.9498522133643249,1.600666170970766,1.8371248745083297,2.436628817737215,8.285713915024273,36.25627374446507,37.190999461095615,12.64287727349557,258787.85804599174
9,176,78,79,98.73,1.0569455338810085,0.0909993358528785,1.0608556644127773,1.4707972611358189,1.8882174551271798,2.3934514286301254,10.34265759355234,18.404722584259147,21.111711903609443,24.99349778767617,670088.7374114833
8,177,73,78,93.59,0.8953628825711243,0.0902043959510784,0.8998952853165594,1.503650065932816,1.936183108770328,2.4514829290589186,7.963944619640954,17.88736480680581,19.580148968699476,20.46762968695596,355089.064798333
18,178,77,79,97.47,0.8948980630988698,0.06291475273073281,0.8971069108246118,1.701460833479532,1.6393869636948541,2.3627438677515378,10.700700261010498,8.128125954341666,13.437686467753025,18.127581592909134,403015.62958263326
13,188,77,79,97.47,0.9950636939033651,0.08933507278675652,0.9990658187298899,1.8474280069191087,3.2657376219226673,3.7520704225787433,12.758925098232199,58.74021096459637,60.10992059408819,26.645424638024156,718045.9781974443
30,205,79,79,100.0,2.5930937359061987,0.06980827582146194,2.5940332146233462,8.731207830215517,1.432234074958948,8.847897186331354,59.183673919863644,14.819189479630406,61.01078294437743,11.10982272115426,296781.8157142389
35,246,79,79,100.0,2.2963718142474705,0.07586996597328807,2.2976248085810282,6.817356985553374,1.794824090407116,7.049663097196852,47.12846869886042,25.826114979702997,53.74086691563791,12.093833682882062,322390.4892804361
39,254,79,79,100.0,2.052326585877444,0.1630439377870422,2.0587927872295624,7.988190630108429,1.9249681154906988,8.216854129690262,55.243912400794926,25.71175453764117,60.93426112418706,11.415964500068254,302119.2917308021
33,269,79,79,100.0,2.117457367080787,0.05556014182795108,2.1181861652755267,5.050747963115132,1.0824353503400896,5.165435245415194,51.735394839267144,13.009252024105363,53.34596252202746,12.641698179120556,361388.1537013621
