,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
30,205,78,79,98.73,3.4478777021750027,0.5484004788739318,3.4912180874853314,26.52681715257308,47.80836689217388,54.674600804603536,9.552350668974563,57.628371288283006,56.631263606331984,80.79683901607824,547637.6980726412
35,246,74,79,93.67,2.201684970912212,0.3736815925523736,2.2331714317878033,25.939552870787974,48.11572800960134,54.66245224128112,9.657055262264814,64.69897283331177,58.84077812913839,87.45395506509757,513397.1380418554
39,254,78,79,98.73,2.7883976861454345,0.35839336506270303,2.8113355296410605,25.756712040269193,48.3177920871569,54.75415278591269,9.849506176443857,53.740861266803904,55.9331649822966,77.56673974478156,549223.5659014066
33,269,75,79,94.94,2.660019975279574,0.3496474789987282,2.68290134527092,24.745335885908894,47.4971968792073,53.55665560402956,10.462621447743583,58.297955588395155,58.686830034868606,82.72119223831369,545293.3527618316
29,290,77,79,97.47,2.397177291693867,0.3274995249312287,2.4194451650415476,26.095911776772525,47.397993883813136,54.10699063587886,8.799986582921445,57.15942821075238,55.25539582040806,79.5006855357243,527544.8279286367
36,292,76,79,96.2,2.4806649739402156,0.3500390839804718,2.5052397237086312,25.663871256735753,48.30516319905696,54.699388292464796,9.737441182828976,61.80935050039687,56.544203076194066,83.77137166599807,533461.9120456664
32,295,76,79,96.2,2.7309876246559033,0.28404748334621,2.745719646799179,25.248282564609493,48.092308279119536,54.317086520506905,10.016559432807327,51.02962964930441,86.4291846681701,100.36945284572302,532570.4874380747
28,308,74,79,93.67,2.4000067911678755,0.3779243548990779,2.4295800904020033,24.671004316003504,47.62119454391601,53.63242138622645,10.630492000585045,58.4331405572352,57.899421499895084,82.26040922220189,526401.1991778404
31,340,74,79,93.67,2.0415011034987303,0.3541684659783196,2.0719947050800998,25.123977140875997,47.232636408991624,53.49893615315412,9.973111035704145,57.78098053465097,53.95128256967999,79.05303664287142,520300.6479365277
22,345,76,79,96.2,2.341526849382898,0.3265631902303789,2.3641893967265912,25.216148650460635,47.60531499530751,53.871329745650215,9.387457656631682,58.55572063019161,56.776464342972034,81.56187419260192,518166.5023487081
26,348,75,79,94.94,2.37384258592714,0.3597155540458594,2.4009422947217556,26.935545609077966,47.76454133510795,54.83589177000731,9.122934806866434,60.480555229171586,75.53591584544817,96.76555246284445,520500.0048324075
37,352,76,79,96.2,2.4282565146424213,0.2874691994645915,2.445213332522169,24.81638374573031,48.01642942469255,54.05025806517327,9.912717372178193,54.57965044726494,57.32513870585464,79.15244639675454,533163.1072662652
38,354,77,79,97.47,2.6242209326921215,0.29672760965254413,2.640943539326356,24.78795394740258,48.29522583852437,54.28509463648952,9.360831735013566,50.55908715361037,56.06522292271708,75.49523504950713,532769.1627638901
20,364,77,79,97.47,2.3042256694886203,0.29818403787549513,2.323439187147797,25.757797501868467,47.699137791962805,54.20951833621025,7.428635778034455,61.04952104086496,59.362710690828315,85.15265961719572,499997.68017970567
23,367,75,79,94.94,2.0674715554226615,0.34526027104744106,2.0961019267310337,24.123143039178004,47.43992393305292,53.220977188158514,9.665623390108694,57.98146478176307,58.570752880892115,82.41591685635345,522697.84480344504
25,385,76,79,96.2,2.363392643487912,0.5075525198194969,2.4172782933845043,25.680093698463786,47.1311856690518,53.67323238759255,11.386224369906673,56.68301410084212,54.44478969526011,78.59516023596726,560169.9647436922
21,386,77,79,97.47,1.977668004835495,0.25587982932568354,1.994152758543274,25.577666780285625,47.96756752720611,54.36087354338968,8.582054958948342,55.975121732330734,58.00068968430263,80.60579542938594,525704.9538033131
34,395,77,79,97.47,2.9778870968103743,0.6433883264365404,3.046598119205179,24.57391660123953,47.2267578972032,53.23761864138666,9.389959064912016,55.505449674447036,55.09740405340591,78.20856012602995,546774.7254745878
24,398,74,79,93.67,2.738797675977771,0.3224048216381596,2.7577087552815964,24.453201359102497,46.759425179942724,52.767441664983856,9.438466622560574,65.03130292995478,55.294104421700276,85.36104699782823,518638.90924780833
27,399,74,79,93.67,2.7984869454784254,0.42926356545158106,2.831218181743924,23.95511084329653,48.94560607338177,54.49329949090337,11.626413681493874,55.58881972658787,141.29211989897686,151.83405423073555,533572.9679267196
