                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.48675,                0.29652,                0.82209,                0.99709,                0.97818,                0.99081,                 0.8927,                0.54513,                0.27111,                0.82976,              0.0002774,              0.0002774,              0.0002774
                     89,                0.57367,                0.31627,                 0.8253,                0.99673,                0.96818,                0.98667,                0.88927,                0.54706,                 0.2676,                0.83333,              0.0002576,              0.0002576,              0.0002576
                     90,                0.73703,                 0.4869,                0.86683,                  0.997,                 0.9514,                0.97552,                0.87212,                0.57194,                0.28009,                0.83772,              0.0002378,              0.0002378,              0.0002378
                     91,                0.61411,                0.36063,                0.84608,                0.99731,                0.94087,                0.96983,                0.82552,                0.75781,                0.33524,                0.86512,               0.000218,               0.000218,               0.000218
                     92,                0.58113,                0.35211,                0.84712,                0.99599,                0.94576,                0.97461,                0.84542,                0.69207,                0.31965,                0.84922,              0.0001982,              0.0001982,              0.0001982
                     93,                0.53456,                0.32258,                0.83319,                0.99587,                0.96093,                0.98209,                0.88309,                0.57149,                0.29331,                0.83751,              0.0001784,              0.0001784,              0.0001784
                     94,                0.53741,                0.31412,                0.83207,                0.99771,                0.96734,                0.98569,                0.90318,                0.52496,                0.27974,                0.82916,              0.0001586,              0.0001586,              0.0001586
                     95,                0.50634,                0.30768,                0.82397,                 0.9982,                0.96061,                0.98063,                0.87604,                0.60325,                0.29464,                0.83367,              0.0001388,              0.0001388,              0.0001388
                     96,                0.50941,                0.30276,                0.82911,                0.99634,                0.95139,                 0.9741,                0.86718,                0.61108,                0.29445,                0.82987,               0.000119,               0.000119,               0.000119
                     97,                0.52388,                0.31059,                0.82645,                0.99658,                0.94727,                0.97155,                 0.8832,                0.53522,                0.27853,                0.81916,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.49069,                0.29824,                0.81666,                0.99765,                 0.9568,                0.97564,                0.90665,                 0.4581,                0.26146,                0.80891,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.49964,                0.29005,                0.82297,                 0.9964,                0.96708,                0.98159,                0.91323,                0.44444,                0.25799,                0.80561,               5.96e-05,               5.96e-05,               5.96e-05
