                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.50579,                0.28969,                0.83215,                0.99756,                0.98574,                 0.9894,                0.89712,                   0.53,                0.27452,                0.82252,              0.0012872,              0.0012872,              0.0012872
                     74,                0.50459,                0.29315,                0.83309,                0.99775,                0.98412,                0.98981,                0.92463,                0.46663,                0.25546,                0.81751,              0.0012773,              0.0012773,              0.0012773
                     75,                0.51216,                0.29974,                0.83212,                0.99706,                 0.9667,                0.98166,                0.88356,                0.58559,                0.28055,                0.84677,              0.0012674,              0.0012674,              0.0012674
                     76,                0.46636,                0.27957,                0.82499,                0.99887,                0.97778,                0.98759,                0.89369,                0.52637,                0.26626,                0.84157,              0.0012575,              0.0012575,              0.0012575
                     77,                0.53424,                 0.2977,                0.83703,                0.99644,                  0.976,                0.98513,                0.89049,                0.51393,                  0.267,                0.83426,              0.0012476,              0.0012476,              0.0012476
                     78,                0.51133,                0.28803,                0.83408,                0.99723,                0.96883,                0.98306,                0.90344,                0.51175,                0.26513,                0.83165,              0.0012377,              0.0012377,              0.0012377
                     79,                0.58411,                0.30262,                0.84814,                0.99647,                 0.9878,                0.99471,                0.89932,                0.58922,                0.27644,                0.86157,              0.0012278,              0.0012278,              0.0012278
                     80,                0.54074,                0.29421,                0.83849,                0.99757,                0.97415,                0.98441,                  0.904,                0.53393,                0.26756,                0.83465,              0.0012179,              0.0012179,              0.0012179
                     81,                0.48254,                0.27686,                0.82354,                0.99839,                0.98329,                0.99041,                0.91241,                0.49224,                0.25538,                0.82297,               0.001208,               0.001208,               0.001208
                     82,                0.51556,                0.28696,                0.83007,                0.99743,                0.98219,                0.98849,                0.90911,                0.48535,                0.25457,                0.83164,              0.0011981,              0.0011981,              0.0011981
                     83,                0.45803,                0.27073,                 0.8192,                0.99648,                0.98628,                0.99148,                0.92818,                 0.4602,                 0.2454,                0.82157,              0.0011882,              0.0011882,              0.0011882
                     84,                0.46236,                0.27155,                0.82245,                0.99854,                 0.9734,                0.98566,                0.92098,                 0.5086,                0.25688,                0.82547,              0.0011783,              0.0011783,              0.0011783
                     85,                0.45556,                0.26791,                0.82013,                0.99743,                0.98245,                0.99176,                0.95361,                0.39621,                0.23761,                0.80575,              0.0011684,              0.0011684,              0.0011684
                     86,                0.46524,                0.27784,                0.82153,                 0.9966,                0.97667,                0.98933,                0.92488,                0.47006,                0.25069,                0.82215,              0.0011585,              0.0011585,              0.0011585
                     87,                0.46483,                0.27475,                0.82131,                 0.9971,                0.98137,                0.99062,                0.93805,                0.44996,                0.24776,                0.81875,              0.0011486,              0.0011486,              0.0011486
                     88,                0.45719,                0.27289,                0.82027,                0.99743,                0.98285,                0.98894,                 0.9147,                0.47308,                0.25483,                0.81946,              0.0011387,              0.0011387,              0.0011387
                     89,                0.42064,                0.26225,                0.81408,                0.99726,                0.97275,                0.98319,                0.93982,                0.40161,                0.23543,                0.80438,              0.0011288,              0.0011288,              0.0011288
                     90,                0.43209,                0.26241,                 0.8189,                0.99775,                0.98322,                0.98924,                0.91111,                0.49079,                0.24952,                0.82568,              0.0011189,              0.0011189,              0.0011189
                     91,                0.46989,                0.27383,                0.82287,                0.99772,                0.98051,                0.98747,                0.94618,                0.38511,                0.22906,                0.80586,               0.001109,               0.001109,               0.001109
                     92,                0.45285,                0.26735,                0.81392,                0.99755,                0.97782,                0.98892,                0.92137,                0.45696,                0.24369,                0.81058,              0.0010991,              0.0010991,              0.0010991
                     93,                0.43728,                0.25996,                0.81595,                0.99803,                0.98368,                0.98985,                0.93179,                 0.4213,                0.23018,                0.80943,              0.0010892,              0.0010892,              0.0010892
                     94,                0.42255,                0.25247,                0.81469,                 0.9971,                0.97956,                0.98908,                0.94401,                0.40791,                0.22827,                0.80713,              0.0010793,              0.0010793,              0.0010793
                     95,                0.44195,                0.26024,                0.81746,                0.99713,                0.98257,                0.98986,                0.92286,                0.47306,                0.24494,                0.82383,              0.0010694,              0.0010694,              0.0010694
                     96,                0.41939,                0.25305,                 0.8103,                0.99773,                0.97632,                0.98652,                0.94762,                0.38608,                0.21728,                0.80472,              0.0010595,              0.0010595,              0.0010595
                     97,                0.47519,                0.26869,                 0.8218,                0.99775,                0.98368,                0.98925,                0.93927,                0.40062,                0.22536,                0.80558,              0.0010496,              0.0010496,              0.0010496
